gaia_dr3_source_id,cluster_name,catalogue_id,catalogue_reference,selection_stage,selection_criterion,original_class,original_class_basis,homogenized_class,homogenized_class_basis,kos_pbint,kos_pbbin,kos_like,kos_like6d,risbud_leading_flag,risbud_trailing_flag,risbud_within_tidal_radius_flag,risbud_corrected_sample_flag,ra_deg,dec_deg,pmra_masyr,pmdec_masyr,rv_kms
245685533931916672,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,60.963987,46.717597,7.133767,-17.99016,nan
246306689281358976,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,62.032494,47.827456,6.864802,-17.969911,-3.3399999141693115
249584917557569280,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,55.956089,49.648277,10.038988,-17.70181,20.6299991607666
249631200124432128,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,55.450255,49.933633,11.432381,-17.57943,17.6200008392334
250064820022590720,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,58.464638,49.202088,8.297547,-17.86227,-13.569999694824219
250255447851327616,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,57.176451,49.31971,9.583297,-18.368214,19.420000076293945
250417385298836096,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,59.124414,50.379238,9.229641,-17.782458,nan
251443504525581952,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,56.117436,51.332987,10.322771,-17.334845,14.680000305175781
253676853160034304,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,0,67.125629,45.229368,4.434285,-16.520713,28.579999923706055
254303952744343168,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,0,69.274253,46.998507,5.744997,-19.270104,nan
256847707254920192,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,0,67.211496,45.915707,7.667682,-20.943781,nan
256950133634365056,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,0,67.299424,46.868157,6.721629,-20.874667,nan
412879642875128448,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,C,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,0,22.612387,57.558563,21.012586,-12.452707,nan
413098617488857472,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,22.011394,58.026626,17.08015,-10.064857,nan
413181183942777600,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,C,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,22.136868,58.479774,18.426985,-11.054211,9.449999809265137
413868619227429888,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,T,Risbud2025_original_flags,T,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,0,1,0,1,19.22355,58.347757,19.953935,-11.505046,0.5
413902016894637440,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,L,Jadhav2025_distAlongO_pm10pc,1.0,1.0,1299.2658426548119,0.0,-1,-1,-1,-1,19.49418854281,58.6830953352,18.00071189839075,-9.81973065413792,nan
413941599309268608,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,20.343351,58.785959,17.178864,-10.284788,2.680000066757202
414295195378680448,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,0,17.770284,59.961167,18.923217,-9.864642,nan
425546356120525568,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,L,Jadhav2025_distAlongO_pm10pc,1.0,0.4627656202016718,294.13856144928974,0.0,-1,-1,-1,-1,9.33728490527,59.71955642643,14.29119762486445,-10.39245934061466,-3.911375999450684
427013212016372096,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,L,Jadhav2025_distAlongO_pm10pc,1.0,0.0007182399999228139,250.53617691769523,0.0,-1,-1,-1,-1,10.75698887451,60.08836364808,18.15953096868931,-8.600273725362523,-16.55255317687988
427472120679009280,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,0,13.794635,62.0776,20.051504,-7.794147,nan
427552419388659200,Stock 2,Kos2024,Kos 2024,high_probability_analysis_subset,pbint > 0.9,,,L,Jadhav2025_distAlongO_pm10pc,1.0,1.0,391.85335153964155,0.0,-1,-1,-1,-1,12.62885338543,62.41558543746,19.04224953925766,-8.215957391811616,nan
427670887463580160,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,10.343774,62.101695,19.53327,-6.087238,2.5
427784725572218752,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,10.702328,62.765828,20.260569,-7.215455,0.4300000071525574
427797919719914240,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,9.821056,62.860259,20.204971,-5.867864,4.690000057220459
427798641274601472,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,10.303522,62.787376,18.433552,-6.496947,-16.360000610351562
428369184730256768,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,4.555453,59.967943,19.670745,-4.739639,-0.41999998688697815
428661994116101120,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,7.688976,60.76603,20.197231,-6.790089,-0.5199999809265137
428830876535259136,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,6.578004,60.649238,20.155001,-7.243915,1.6799999475479126
428945912941829632,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,0,5.536117,61.496321,21.016877,-5.488622,nan
428967697015641728,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,0,4.76024,61.908716,19.097469,-5.996225,nan
429410044286922624,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,0,1.686579,60.76612,19.521393,-3.630886,nan
429550300737881728,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,3.790302,60.772103,20.668873,-4.387334,1.350000023841858
430284808864955136,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,0,8.942375,61.978895,19.78703,-7.59904,nan
430370536408878848,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,7.648917,62.57041,20.238895,-6.616382,nan
430397165210276864,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,6.173378,61.641451,19.416244,-5.732805,nan
430463238989178624,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,5.264912,61.778996,18.986132,-5.680615,nan
430464579018897408,Stock 2,Risbud2025,Risbud et al. 2025,published_stock2_sample,published catalogue inclusion,L,Risbud2025_original_flags,L,Jadhav2025_distAlongO_pm10pc,nan,nan,nan,nan,1,0,0,1,5.055248,61.846464,21.213037,-6.928433,12.380000114440918
