target,ref,records,unique_stars,rv_stars,leading,trailing
Hyades,Jerabkova2021M1,624,624,264,384,240
Hyades,Jerabkova2021M5,431,431,162,293,138
Hyades,Kos2024,4,4,4,0,4
Hyades,Meingast2019,78,78,77,41,37
Hyades,Oh2020,443,443,252,257,186
Hyades,Risbud2025,537,537,285,311,226
Hyades,Roser2019,448,448,263,252,196
Praesepe,Risbud2025,430,430,106,290,140
Praesepe,Roser2019,388,388,124,231,157
Stock 2,Kos2024,234,234,126,129,105
Stock 2,Risbud2025,442,442,256,127,315
IC 4756,Kos2024,135,135,67,88,47
