GaiaDR3,Cluster,Ref,ClusterID,Grade,Class,RA_ICRS,DE_ICRS,rmedgeo,pmRA,pmDE,RV,Gmag,BPmag,RPmag,BP-RP,GMAG,r3d,v3d,rsky,pmR,e_pmR,pmT,e_pmT,deltaRVGC,deltaphiGC,distFromO,distAlongO,cmdDist,q,e_q,MassSysMLR,MassSys,e_MassSys,MassA,e_MassA,MassB,e_MassB,_RA.icrs,_DE.icrs,has_rv,cluster_ra,cluster_dec,cluster_distance,r_cluster_pc,distance_ratio
507982347795757440,Stock_2,Kos2024,105,S,L,30.512514,60.511211,375.0194,16.1901,-13.1315,5.8282,14.9458,15.6718,14.1183,1.5535,7.0755,13.31,1.34,1.9098,0.0626,0.0054,0.3897,0.026,-0.9488,-0.0817,7.14,11.33,,,,,,,,,,,30.512368,60.511269,True,33.8500429,59.57700901,370.24623325,13.307956584782898,1.0128918711963697
522579567246270208,Stock_2,Kos2024,105,S,L,17.855912,61.574586,351.6685,19.5951,-9.6049,3.546,14.4848,15.1037,13.7362,1.3675,6.7542,54.16,1.21,8.0578,1.5123,0.007,-0.4783,0.0231,-0.555,-0.1347,52.31,14.17,,,,,,,,,,,17.855729,61.574629,True,33.8500429,59.57700901,370.24623325,54.159061856834114,0.9498233024900058
507961594513974272,Stock_2,Kos2024,105,S,L,30.913347,60.207978,379.8026,16.171,-12.7355,7.1496,13.5377,14.036,12.8632,1.1728,5.6399,14.19,0.11,1.6022,-0.0288,0.0044,-0.0136,0.0193,0.0526,-0.0967,2.56,14.17,,,,,,,,,,,30.913202,60.208035,True,33.8500429,59.57700901,370.24623325,14.188103566563605,1.0258108412504694
507236019918418176,Stock_2,Kos2024,105,S,L,33.91792,59.192863,390.8184,15.7094,-13.5307,10.2441,14.9324,15.4951,13.8842,1.6109,6.9725,20.73,2.55,0.3857,0.6173,0.0277,0.6767,0.029,2.4697,-0.0933,13.99,15.11,,,,,,,,,,,33.917784,59.192923,True,33.8500429,59.57700901,370.24623325,20.73092314597578,1.055563473446897
507159638221396480,Stock_2,Risbud2025,106,S,L,31.640538,59.639415,378.6537,16.0379,-13.1873,8.2197,14.0746,14.638,13.3628,1.2752,6.1834,11.14,0.83,1.1194,-0.0465,0.0143,0.2859,0.0234,0.5844,-0.0746,1.81,10.86,,,,,,,,,,,31.640397,59.639474,True,33.8500429,59.57700901,370.24623325,11.144782720852218,1.0227077711937804
508364599885182720,Stock_2,Kos2024,105,S,L,31.268434,60.826583,382.2909,15.9384,-12.6053,8.0589,12.4544,12.8975,11.8419,1.0556,4.5425,16.83,1.08,1.7904,0.1343,0.0003,-0.1177,0.0129,0.6703,-0.1095,5.54,16.06,,,,,,,,,,,31.268289,60.826639,True,33.8500429,59.57700901,370.24623325,16.831887702286153,1.0325315038164538
506925442246195968,Stock_2,Risbud2025,106,S,L,32.785757,59.310915,381.2606,16.0802,-13.3133,-5.923,13.8818,14.4759,13.1394,1.3365,5.9756,11.7,13.97,0.6029,-0.2934,0.0222,0.4341,0.0098,-9.1714,-0.0664,5.44,10.39,,,,,,,,,,,32.785617,59.310974,True,33.8500429,59.57700901,370.24623325,11.702497859799003,1.0297487611239595
511302769831167104,Stock_2,Kos2024,105,S,L,27.703544,61.387389,374.5446,17.1682,-12.1125,8.8444,13.1695,13.6473,12.5226,1.1247,5.3019,23.31,2.94,3.5239,0.0636,0.0018,-0.127,0.0116,2.0912,-0.1263,16.18,17.0,,,,,,,,,,,27.703385,61.387443,True,33.8500429,59.57700901,370.24623325,23.314011504274408,1.0116094813774854
508048971330866432,Stock_2,Kos2024,105,S,L,29.98994,60.873145,380.3177,16.3062,-12.0598,6.7375,13.138,13.5874,12.5173,1.0701,5.2372,18.19,0.82,2.3128,0.3177,0.0009,-0.3841,0.0117,-0.1109,-0.1188,6.98,17.0,,,,,,,,,,,29.989791,60.873199,True,33.8500429,59.57700901,370.24623325,18.192391665246006,1.0272020775514534
507429568324366976,Stock_2,Risbud2025,106,S,L,34.480308,60.114238,384.5408,14.9938,-13.1655,11.3518,14.7016,15.4099,13.8834,1.5264,6.7769,14.87,3.29,0.6236,0.1452,0.029,0.1963,0.0043,2.1145,-0.0651,10.52,10.39,,,,,,,,,,,34.480174,60.114296,True,33.8500429,59.57700901,370.24623325,14.87274576913359,1.038608270567733
507588413394407168,Stock_2,Kos2024,105,S,L,31.878847,60.37209,386.3636,15.8176,-12.5506,5.2066,14.9122,15.6779,14.0541,1.6239,6.9772,18.16,2.2,1.2667,-0.0104,0.0013,-0.2715,0.0306,-1.3233,-0.1161,5.06,17.47,,,,,,,,,,,31.878705,60.372146,True,33.8500429,59.57700901,370.24623325,18.157575905094678,1.0435314806811746
508628242157864320,Stock_2,Kos2024,105,S,L,30.149495,61.377675,381.7477,16.0732,-12.9619,2.5416,10.3546,10.5255,10.0491,0.4764,2.4457,20.37,4.06,2.5612,-0.1555,0.0017,0.3802,0.0145,-2.7455,-0.128,9.32,17.95,,,,,,,,,,,30.149346,61.377732,True,33.8500429,59.57700901,370.24623325,20.367703189363432,1.0310643720775787
507292919646610560,Stock_2,Risbud2025,106,S,L,33.453534,59.450294,382.7144,15.2364,-13.4135,9.1359,12.8699,13.4099,12.1683,1.2416,4.9555,12.57,1.15,0.2377,0.2775,0.0232,0.1196,0.0106,0.5991,-0.0647,7.17,10.39,,,,,,,,,,,33.453401,59.450354,True,33.8500429,59.57700901,370.24623325,12.565624195358915,1.0336753371953449
507933587023501312,Stock_2,Kos2024,105,S,L,31.054946,60.077526,385.2543,16.0531,-12.254,8.0941,12.946,13.391,12.334,1.057,5.0173,17.94,1.06,1.491,-0.0494,0.0089,-0.3653,0.0213,0.717,-0.1202,1.69,17.95,,,,,,,,,,,31.054803,60.077581,True,33.8500429,59.57700901,370.24623325,17.940345436907638,1.0405353664729011
507531204428152448,Stock_2,Risbud2025,106,S,L,32.605154,60.275052,379.1374,16.5083,-13.4007,6.858,10.9105,11.2219,10.426,0.7959,3.0165,10.79,1.59,0.9361,-0.6774,0.0081,-0.4031,0.0257,0.5173,-0.0689,3.48,10.39,,,,,,,,,,,32.605006,60.275112,True,33.8500429,59.57700901,370.24623325,10.794730743839736,1.0240141990695053
