GaiaDR3,n_refs,refs,has_rv,classes
245685533931916672,1,Risbud2025,False,T
246306689281358976,1,Risbud2025,True,T
249584917557569280,1,Risbud2025,True,T
249631200124432128,1,Risbud2025,True,T
250064820022590720,1,Risbud2025,True,T
250255447851327616,1,Risbud2025,True,T
250417385298836096,1,Risbud2025,False,T
251443504525581952,1,Risbud2025,True,T
253676853160034304,1,Risbud2025,True,T
254303952744343168,1,Risbud2025,False,T
256847707254920192,1,Risbud2025,False,T
256950133634365056,1,Risbud2025,False,T
413098617488857472,1,Risbud2025,False,L
413868619227429888,1,Risbud2025,True,T
413902016894637440,1,Kos2024,False,L
413941599309268608,1,Risbud2025,True,L
414295195378680448,1,Risbud2025,False,L
425546356120525568,1,Kos2024,True,L
427013212016372096,1,Kos2024,True,L
427472120679009280,1,Risbud2025,False,L
427552419388659200,1,Kos2024,False,L
427670887463580160,1,Risbud2025,True,L
427784725572218752,1,Risbud2025,True,L
427797919719914240,1,Risbud2025,True,L
427798641274601472,1,Risbud2025,True,L
428369184730256768,1,Risbud2025,True,L
428661994116101120,1,Risbud2025,True,L
428830876535259136,1,Risbud2025,True,L
428945912941829632,1,Risbud2025,False,L
428967697015641728,1,Risbud2025,False,L
429410044286922624,1,Risbud2025,False,L
429550300737881728,1,Risbud2025,True,L
430284808864955136,1,Risbud2025,False,L
430370536408878848,1,Risbud2025,False,L
430397165210276864,1,Risbud2025,False,L
430463238989178624,1,Risbud2025,False,L
430464579018897408,1,Risbud2025,True,L
430520203132588416,1,Risbud2025,False,L
430717054374342272,2,"Kos2024, Risbud2025",False,L
430951387788910720,1,Risbud2025,True,L
442430014299993344,1,Risbud2025,False,T
442750384500171264,1,Risbud2025,True,T
443054055869389440,1,Risbud2025,False,T
443141089086539520,1,Risbud2025,True,T
443591098578572544,1,Risbud2025,True,T
443771418485622016,1,Kos2024,False,T
443977027161088128,1,Risbud2025,True,T
444019736314356736,1,Risbud2025,False,T
444102921240354816,2,"Kos2024, Risbud2025",False,T
445138592474871296,1,Risbud2025,False,T
445402200386778624,1,Risbud2025,False,T
446093243445334912,1,Risbud2025,True,T
446621352624952704,2,"Kos2024, Risbud2025",True,T
446651932791889664,2,"Kos2024, Risbud2025",True,T
446688147956294016,1,Risbud2025,True,T
446835757392056960,1,Risbud2025,True,T
446874996213399808,1,Kos2024,True,T
447083662905353216,1,Risbud2025,True,T
447312258245108736,2,"Kos2024, Risbud2025",False,T
447341876339225344,1,Risbud2025,False,T
447382042872710016,1,Risbud2025,True,T
447395129632753408,1,Risbud2025,True,T
447397917071811200,1,Risbud2025,False,T
447498694184000000,1,Risbud2025,True,T
447515461736173952,1,Risbud2025,False,T
447518382313874560,2,"Kos2024, Risbud2025",True,T
447586586395602688,1,Risbud2025,False,T
447638366520736768,1,Risbud2025,True,T
