group_type,group,n_group,diagnostic,n_valid,n_missing,min,p01,p05,p16,median,p84,p95,p99,max
overall,all,1456,ruwe,1456,0,0.7491867542266846,0.8605688393115998,0.9070102125406265,0.9555550456047058,1.0111199617385864,1.1122474193572998,1.4791721999645233,3.2412717461586027,11.427650451660156
overall,all,1456,visibility_periods_used,1456,0,16.0,18.0,19.0,20.0,21.0,24.0,27.0,29.0,31.0
overall,all,1456,astrometric_n_good_obs_al,1456,0,263.0,305.55,336.0,358.8,420.5,626.2,809.25,1105.8000000000002,1254.0
overall,all,1456,astrometric_n_bad_obs_al,1456,0,0.0,0.0,0.0,0.0,2.0,6.0,12.0,26.450000000000045,90.0
overall,all,1456,astrometric_gof_al,1456,0,-7.671349048614502,-4.143646097183227,-2.668556869029999,-1.2914445877075196,0.35596267879009247,3.401826524734499,13.9735746383667,51.73172569274914,175.5787811279297
overall,all,1456,astrometric_excess_noise,1456,0,0.0,0.0,0.0,0.0,0.03171509504318237,0.1371633976697922,0.2581828162074089,0.7132405310869226,3.654602289199829
overall,all,1456,astrometric_excess_noise_sig,1456,0,0.0,0.0,0.0,0.0,0.3212946653366089,16.909750747680665,48.62687397003174,172.7652229309088,2459.682861328125
overall,all,1456,ipd_frac_multi_peak,1456,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.15000000000032,98.0
overall,all,1456,ipd_gof_harmonic_amplitude,1456,0,0.00010035181185230613,0.0023179488605819644,0.005218827165663242,0.009417115338146686,0.017464611679315567,0.025856615602970125,0.032230584882199764,0.04351940974593167,0.1704612374305725
overall,all,1456,parallax_error,1456,0,0.009793141856789589,0.011208302155137063,0.012477153446525335,0.014414591155946255,0.023089760914444923,0.05720718502998352,0.07855069451034069,0.09952564202249063,0.38191625475883484
overall,all,1456,pmra_error,1456,0,0.006766282953321934,0.008825417514890433,0.010492701549082994,0.012143537029623985,0.019714691676199436,0.048903169482946394,0.0677672978490591,0.08497235178947452,0.3178029954433441
overall,all,1456,pmdec_error,1456,0,0.008554467000067234,0.009760754089802504,0.01218666392378509,0.014646301604807377,0.023689551278948784,0.056768493354320534,0.07887960784137249,0.09984087720513349,0.39739981293678284
overall,all,1456,parallax_over_error,1456,0,7.682392600992278,26.701078580395816,34.504848417719295,46.70696586739695,116.94344262593476,186.15260327890368,215.72188844164546,245.27592858908187,274.2282665078807
overall,all,1456,abs_pmra_over_error,1456,0,51.0736951969149,157.74460120959807,223.6920896140196,321.9216681457761,778.7894898831715,1301.386765026803,1563.69128739565,2015.9341470425634,2573.4540371097037
overall,all,1456,abs_pmdec_over_error,1456,0,11.05014988576574,113.95936089076098,164.91874302298058,240.889694349852,575.9335764211858,951.9454868269635,1160.1436391124087,1414.6049169662442,1741.068263866153
