flag_a,flag_b,n_fail_a,n_fail_b,n_fail_both,pct_a_fail_also_b,pct_b_fail_also_a
has_full_astrometric_solution,pass_ruwe_1p4,0,87,0,nan,0.0
has_full_astrometric_solution,pass_visibility_ge10,0,0,0,nan,nan
has_full_astrometric_solution,pass_gof_al_3,0,255,0,nan,0.0
has_full_astrometric_solution,pass_excess_noise_sig_2,0,544,0,nan,0.0
has_full_astrometric_solution,pass_not_duplicated,0,72,0,nan,0.0
has_full_astrometric_solution,pass_ipd_multi_peak_2,0,51,0,nan,0.0
has_full_astrometric_solution,pass_ipd_harmonic_0p1,0,2,0,nan,0.0
pass_ruwe_1p4,pass_visibility_ge10,87,0,0,0.0,nan
pass_ruwe_1p4,pass_gof_al_3,87,255,87,100.0,34.11764705882353
pass_ruwe_1p4,pass_excess_noise_sig_2,87,544,87,100.0,15.992647058823529
pass_ruwe_1p4,pass_not_duplicated,87,72,3,3.4482758620689653,4.166666666666667
pass_ruwe_1p4,pass_ipd_multi_peak_2,87,51,24,27.586206896551722,47.05882352941177
pass_ruwe_1p4,pass_ipd_harmonic_0p1,87,2,2,2.2988505747126435,100.0
pass_visibility_ge10,pass_gof_al_3,0,255,0,nan,0.0
pass_visibility_ge10,pass_excess_noise_sig_2,0,544,0,nan,0.0
pass_visibility_ge10,pass_not_duplicated,0,72,0,nan,0.0
pass_visibility_ge10,pass_ipd_multi_peak_2,0,51,0,nan,0.0
pass_visibility_ge10,pass_ipd_harmonic_0p1,0,2,0,nan,0.0
pass_gof_al_3,pass_excess_noise_sig_2,255,544,236,92.54901960784314,43.38235294117647
pass_gof_al_3,pass_not_duplicated,255,72,20,7.8431372549019605,27.77777777777778
pass_gof_al_3,pass_ipd_multi_peak_2,255,51,36,14.117647058823529,70.58823529411765
pass_gof_al_3,pass_ipd_harmonic_0p1,255,2,2,0.7843137254901961,100.0
pass_excess_noise_sig_2,pass_not_duplicated,544,72,59,10.845588235294118,81.94444444444444
pass_excess_noise_sig_2,pass_ipd_multi_peak_2,544,51,42,7.720588235294118,82.3529411764706
pass_excess_noise_sig_2,pass_ipd_harmonic_0p1,544,2,2,0.36764705882352944,100.0
pass_not_duplicated,pass_ipd_multi_peak_2,72,51,0,0.0,0.0
pass_not_duplicated,pass_ipd_harmonic_0p1,72,2,0,0.0,0.0
pass_ipd_multi_peak_2,pass_ipd_harmonic_0p1,51,2,2,3.9215686274509802,100.0
