group_type,group,flag,n_total,n_pass,pct_pass
catalogue_status,kos_only,has_full_astrometric_solution,178,178,100.0
catalogue_status,kos_only,pass_ruwe_1p4,178,91,51.12359550561798
catalogue_status,kos_only,pass_visibility_ge10,178,178,100.0
catalogue_status,kos_only,pass_gof_al_3,178,84,47.19101123595506
catalogue_status,kos_only,pass_excess_noise_sig_2,178,80,44.943820224719104
catalogue_status,kos_only,pass_not_duplicated,178,175,98.31460674157303
catalogue_status,kos_only,pass_ipd_multi_peak_2,178,153,85.95505617977528
catalogue_status,kos_only,pass_ipd_harmonic_0p1,178,176,98.87640449438203
catalogue_status,kos_only,pass_astrometry_baseline,178,91,51.12359550561798
catalogue_status,kos_only,pass_astrometry_gof_sensitivity,178,84,47.19101123595506
catalogue_status,kos_only,pass_astrometry_excess_noise_sensitivity,178,79,44.38202247191011
catalogue_status,kos_only,pass_astrometry_enhanced,178,79,44.38202247191011
catalogue_status,risbud_only,has_full_astrometric_solution,393,393,100.0
catalogue_status,risbud_only,pass_ruwe_1p4,393,393,100.0
catalogue_status,risbud_only,pass_visibility_ge10,393,393,100.0
catalogue_status,risbud_only,pass_gof_al_3,393,342,87.02290076335878
catalogue_status,risbud_only,pass_excess_noise_sig_2,393,268,68.19338422391857
catalogue_status,risbud_only,pass_not_duplicated,393,371,94.40203562340967
catalogue_status,risbud_only,pass_ipd_multi_peak_2,393,386,98.21882951653944
catalogue_status,risbud_only,pass_ipd_harmonic_0p1,393,393,100.0
catalogue_status,risbud_only,pass_astrometry_baseline,393,371,94.40203562340967
catalogue_status,risbud_only,pass_astrometry_gof_sensitivity,393,324,82.44274809160305
catalogue_status,risbud_only,pass_astrometry_excess_noise_sensitivity,393,254,64.63104325699746
catalogue_status,risbud_only,pass_astrometry_enhanced,393,252,64.12213740458016
catalogue_status,shared,has_full_astrometric_solution,885,885,100.0
catalogue_status,shared,pass_ruwe_1p4,885,885,100.0
catalogue_status,shared,pass_visibility_ge10,885,885,100.0
catalogue_status,shared,pass_gof_al_3,885,775,87.57062146892656
catalogue_status,shared,pass_excess_noise_sig_2,885,564,63.728813559322035
catalogue_status,shared,pass_not_duplicated,885,838,94.68926553672317
catalogue_status,shared,pass_ipd_multi_peak_2,885,866,97.85310734463278
catalogue_status,shared,pass_ipd_harmonic_0p1,885,885,100.0
catalogue_status,shared,pass_astrometry_baseline,885,838,94.68926553672317
catalogue_status,shared,pass_astrometry_gof_sensitivity,885,741,83.72881355932203
catalogue_status,shared,pass_astrometry_excess_noise_sensitivity,885,548,61.92090395480226
catalogue_status,shared,pass_astrometry_enhanced,885,541,61.12994350282486
